wid,word,image,practice,word_type,rt,typing_rt,response,type_time,response_type
wbfc78c4,pillow,../static/stimuli/images/greenhouse/sun_bmkhcqoxkpbmqplr.jpg,True,high,1,1621.0,pillow,4658.100000023842,correct
wbfc78c4,hamburger,../static/stimuli/images/grocery/sun_agipdkpovnqrcsgh.jpg,True,high,1,1165.0,hamburger,4626.5,correct
wbfc78c4,jeans,../static/stimuli/images/waterfall/sun_albucmtmstcfpynn.jpg,True,high,1,1349.0,jeans,2331.100000023842,correct
wbfc78c4,barracuda,../static/stimuli/images/footballfield/sun_byyhmoxeyuabpnes.jpg,False,high,1,1741.0,,1739.5999999046326,empty
wbfc78c4,bed,../static/stimuli/images/restaurant/sun_agizngsilvvsycgq.jpg,False,high,1,1238.0,bed,1884.0999999046326,correct
wbfc78c4,idol,../static/stimuli/images/warehouse/sun_aadtsgkouwrqwvwl.jpg,False,low,1,1430.0,idol,2195.7999999523163,correct
wbfc78c4,suburb,../static/stimuli/images/underwater/sun_aktxgxoebrjkepur.jpg,False,low,1,1749.0,,1748.2999999523163,empty
wbfc78c4,ear,../static/stimuli/images/sky/sun_aemltyubcdmxluwx.jpg,False,high,1,838.0,ear,1298.3000000715256,correct
wbfc78c4,ghost,../static/stimuli/images/kitchen/sun_akzumputqvdvtqbq.jpg,False,low,1,1126.0,ghost,1914.8999999761581,correct
wbfc78c4,tiger,../static/stimuli/images/river/sun_aztombwyhubhaynq.jpg,False,high,1,1213.0,tiger,1899.8999999761581,correct
wbfc78c4,dandelion,../static/stimuli/images/skiresort/sun_agehhpppqkifjwhn.jpg,False,high,1,2132.0,,2131.1999999284744,empty
wbfc78c4,chimney,../static/stimuli/images/vineyard/sun_azygdhuijrbfollv.jpg,False,high,1,1612.0,,5490.799999952316,empty
wbfc78c4,finger,../static/stimuli/images/bookstore/sun_aalyndhausktwxbc.jpg,False,high,1,1124.0,finger,1802.8999999761581,correct
wbfc78c4,fellow,../static/stimuli/images/garage/sun_djtxkmtcichrbudp.jpg,False,low,2,949.0,fellow,1978.8999999761581,correct
wbfc78c4,carrot,../static/stimuli/images/ranch/sun_ayvjppkciavpdbhs.jpg,False,high,1,909.0,carrot,1818.6000000238419,correct
wbfc78c4,tulip,../static/stimuli/images/theater/sun_abnbylturqcwwiuz.jpg,False,high,1,1326.0,tulip,2203.7000000476837,correct
wbfc78c4,captive,../static/stimuli/images/temple/sun_avabexehmngnxjjr.jpg,False,low,1,982.0,captive,2075.399999976158,correct
wbfc78c4,magazine,../static/stimuli/images/tenniscourt/sun_ajmzjgescxgcfhdp.jpg,False,high,1,903.0,magazine,3371.8000000715256,correct
wbfc78c4,cactus,../static/stimuli/images/downtown/sun_abosdjemftsczdvd.jpg,False,high,1,1463.0,cactus,3292.600000023842,correct
wbfc78c4,well,../static/stimuli/images/street/sun_avxrcniddstcuuuc.jpg,False,low,1,958.0,well,1891.6000000238419,correct
wbfc78c4,permit,../static/stimuli/images/volcano/sun_axyqizdexdgrtfie.jpg,False,low,1,2190.0,permit,3116.8000000715256,correct
wbfc78c4,personnel,../static/stimuli/images/gym/sun_awstzxompuovdfck.jpg,False,low,1,1150.0,personal,3339.2999999523163,other
wbfc78c4,refrigerator,../static/stimuli/images/railway/sun_aqddawzjzkqycxjc.jpg,False,high,2,1453.0,,1451.2000000476837,empty
wbfc78c4,department,../static/stimuli/images/shoppingmall/sun_avicxzccipgymejx.jpg,False,low,1,989.0,department,2699.5999999046326,correct
wbfc78c4,ozone,../static/stimuli/images/campsite/sun_aommnycdukjoaebq.jpg,False,low,1,837.0,ozone,1907.0,correct
wbfc78c4,community,../static/stimuli/images/musuem/sun_alsgupdkmpsptlos.jpg,False,low,1,1573.0,,1571.7999999523163,empty
wbfc78c4,virus,../static/stimuli/images/computerroom/sun_atznfxhjiiugbvxi.jpg,False,low,1,1128.0,virus,2316.1999999284744,correct
wbfc78c4,pig,../static/stimuli/images/house/sun_aangbuylfvckqqoo.jpg,False,high,1,1046.0,pig,1562.0,correct
wbfc78c4,vagrant,../static/stimuli/images/auditorium/sun_aiheutdgogkujwri.jpg,False,low,1,1302.0,,1300.3000000715256,empty
wbfc78c4,lover,../static/stimuli/images/ziggurat/sun_aenpmgoxmkmwaoiq.jpg,False,low,1,1054.0,lover,1995.5,correct
wbfc78c4,scenery,../static/stimuli/images/laundryroom/sun_aloupfszgaghffll.jpg,False,low,2,1644.0,,1642.5,empty
wbfc78c4,neck,../static/stimuli/images/airport/sun_ammfdrzrfvjsqahx.jpg,False,high,1,1039.0,neck,1939.8000000715256,correct
wbfc78c4,saxophone,../static/stimuli/images/forest/sun_almbxcurjahdxery.jpg,False,high,1,1838.0,saxophone,5155.299999952316,correct
wbfc78c4,stable,../static/stimuli/images/roof/sun_acfajljanztkmhkr.jpg,False,low,1,943.0,stable,2163.9000000953674,correct
wbfc78c4,follower,../static/stimuli/images/beach/sun_abylvpgvhrpaxgnk.jpg,False,low,1,2348.0,,2346.399999976158,empty
wbfc78c4,sand,../static/stimuli/images/tower/sun_afjkdsegpwxewtah.jpg,False,high,1,1037.0,sand,1835.6000000238419,correct
wbfc78c4,tomato,../static/stimuli/images/windmill/sun_avyfornqjbraqqsf.jpg,False,high,1,949.0,tomato,2242.899999976158,correct
wbfc78c4,empire,../static/stimuli/images/pool/sun_amnkmeojepioccty.jpg,False,low,1,1228.0,empire,2194.8000000715256,correct
wbfc78c4,patient,../static/stimuli/images/castle/sun_aduovtnrsmdtcpie.jpg,False,low,1,1575.0,patient,3404.0,correct
wbfc78c4,goddess,../static/stimuli/images/subway/sun_aoelchwqhnnizmrp.jpg,False,low,2,1111.0,goddess,2659.600000023842,correct
w6bbde7b,application,../static/stimuli/images/computerroom/sun_akbfsjykwgllwszc.jpg,True,low,1,,,,timeout
w6bbde7b,suburb,../static/stimuli/images/warehouse/sun_aivgpdzlwqiklrwe.jpg,True,low,1,10696.0,,,timeout
w6bbde7b,electron,../static/stimuli/images/volcano/sun_aojnxwnexkwltvvx.jpg,True,low,1,1852.0,electric,4451.595000000438,other
w6bbde7b,stable,../static/stimuli/images/garage/sun_djtxkmtcichrbudp.jpg,False,low,1,,,,timeout
w6bbde7b,neck,../static/stimuli/images/footballfield/sun_ahqkbelqgjflpbjo.jpg,False,high,1,,,,timeout
w6bbde7b,hamburger,../static/stimuli/images/ranch/sun_aychrlbscvbnniew.jpg,False,high,1,2390.0,hamburger,6265.774999999907,correct
w6bbde7b,patient,../static/stimuli/images/underwater/sun_aufltyunbkquxrih.jpg,False,low,1,,,,timeout
w6bbde7b,community,../static/stimuli/images/ziggurat/sun_apdphtulomykrqoa.jpg,False,low,1,,,,timeout
w6bbde7b,tart,../static/stimuli/images/beach/sun_acbeypdvskqxwbrf.jpg,False,low,1,,,,timeout
w6bbde7b,handkerchief,../static/stimuli/images/greenhouse/sun_bncgstrupskxwget.jpg,False,high,1,,,,timeout
w6bbde7b,frog,../static/stimuli/images/theater/sun_awkfdodvwaaleezx.jpg,False,high,1,,,,timeout
w6bbde7b,cue,../static/stimuli/images/campsite/sun_aommnycdukjoaebq.jpg,False,low,1,,,,timeout
w6bbde7b,crook,../static/stimuli/images/roof/sun_asrztwexxagrlhem.jpg,False,low,1,,,,timeout
w6bbde7b,pizza,../static/stimuli/images/airport/sun_aojbxgadgjyajeaw.jpg,False,high,1,,,,timeout
w6bbde7b,apple,../static/stimuli/images/tower/sun_afyekzxxqtpzgqni.jpg,False,high,1,,,,timeout
w6bbde7b,personnel,../static/stimuli/images/subway/sun_agpnhsuccwnvcjwe.jpg,False,low,1,,,,timeout
w6bbde7b,tread,../static/stimuli/images/musuem/sun_aspbwvercyqvrrkn.jpg,False,low,1,,,,timeout
w6bbde7b,quill,../static/stimuli/images/forest/sun_avyyymflzsdrwgbe.jpg,False,high,1,,,,timeout
w6bbde7b,cauliflower,../static/stimuli/images/bookstore/sun_avqoszezjldwidcy.jpg,False,high,1,,,,timeout
w6bbde7b,scapegoat,../static/stimuli/images/shoppingmall/sun_aqmgjlthiepxfbtd.jpg,False,low,1,,,,timeout
w6bbde7b,donor,../static/stimuli/images/kitchen/sun_axvexejcndazoqxl.jpg,False,low,1,,,,timeout
w6bbde7b,keeper,../static/stimuli/images/street/sun_avddlmbtwpvlxdol.jpg,False,low,1,,,,timeout
w6bbde7b,penguin,../static/stimuli/images/skiresort/sun_aijypnsissxbdxyj.jpg,False,high,1,,,,timeout
w6bbde7b,villain,../static/stimuli/images/laundryroom/sun_aenyfwnevttqnhhe.jpg,False,low,1,,,,timeout
w6bbde7b,idol,../static/stimuli/images/temple/sun_ailcfqxmknysbavu.jpg,False,low,1,,,,timeout
w6bbde7b,jeans,../static/stimuli/images/vineyard/sun_apdbcyzwitltnzyz.jpg,False,high,1,,,,timeout
w6bbde7b,goddess,../static/stimuli/images/gym/sun_akhyzejtqpynaepu.jpg,False,low,1,,,,timeout
w6bbde7b,banana,../static/stimuli/images/windmill/sun_awjnichhcaunlnrz.jpg,False,high,1,,,,timeout
w6bbde7b,shoelace,../static/stimuli/images/grocery/sun_aczzweebuokhxnbb.jpg,False,high,1,,,,timeout
w6bbde7b,critic,../static/stimuli/images/auditorium/sun_ahcmaddzrcfxzuuz.jpg,False,low,1,,,,timeout
w6bbde7b,rouge,../static/stimuli/images/pool/sun_argikopryamoycho.jpg,False,low,1,,,,timeout
w6bbde7b,dandelion,../static/stimuli/images/sky/sun_agpvigtqjmmxbzwp.jpg,False,high,1,,,,timeout
w6bbde7b,carrot,../static/stimuli/images/river/sun_advruofhmqeyqmbx.jpg,False,high,1,,,,timeout
w6bbde7b,bug,../static/stimuli/images/waterfall/sun_aecefabfvaewllpg.jpg,False,high,1,,,,timeout
w6bbde7b,house,../static/stimuli/images/restaurant/sun_ajsstbpxnharlnnf.jpg,False,high,1,9017.0,house,10524.285000001313,correct
w6bbde7b,strawberry,../static/stimuli/images/tenniscourt/sun_aizsvornuhzvyvhc.jpg,False,high,1,,,,timeout
w6bbde7b,pig,../static/stimuli/images/railway/sun_avugyywnswogxvlh.jpg,False,high,1,8837.0,pizza,10438.649999999907,intrusion
w6bbde7b,empire,../static/stimuli/images/castle/sun_apkncxxjepzqmdyk.jpg,False,low,1,,,,timeout
w6bbde7b,cookie,../static/stimuli/images/house/sun_aahrslvfecptaudk.jpg,False,high,1,,,,timeout
w6bbde7b,chimney,../static/stimuli/images/downtown/sun_aljrvcabwnwkorml.jpg,False,high,1,5516.0,chimney,9177.035000000615,correct
wed805be,jeans,../static/stimuli/images/windmill/sun_alrghzshdjgnywto.jpg,True,high,1,1951.0,jeans,2596.9250000002794,correct
wed805be,scapegoat,../static/stimuli/images/warehouse/sun_aibppakephiqqqrb.jpg,True,low,1,1855.0,scapegoat,3246.9100000002654,correct
wed805be,gravel,../static/stimuli/images/tower/sun_augaqwzgrksvvsgf.jpg,True,high,1,1667.0,gravel,2776.6699999996927,correct
wed805be,stranger,../static/stimuli/images/shoppingmall/sun_abegyiikvbaqpooh.jpg,False,low,1,2473.0,stranger,4032.015000000247,correct
wed805be,permit,../static/stimuli/images/musuem/sun_asxfpkysdohbethd.jpg,False,low,1,8250.0,permit,9302.01500000013,correct
wed805be,patient,../static/stimuli/images/underwater/sun_ajzucqttdjcknlvx.jpg,False,low,1,2476.0,patient,3415.8600000001024,correct
wed805be,roost,../static/stimuli/images/volcano/sun_aacjsxcwmkbgvpmb.jpg,False,low,1,,,,timeout
wed805be,society,../static/stimuli/images/castle/sun_alsmelmsufuoupht.jpg,False,low,1,1607.0,society,2924.704999999958,correct
wed805be,rebel,../static/stimuli/images/gym/sun_abcjjambqjxedqdv.jpg,False,low,1,1530.0,rebel,2534.670000000042,correct
wed805be,elbow,../static/stimuli/images/skiresort/sun_akfvworuwhgwukzv.jpg,False,high,1,1204.0,elbow,1973.074999999837,correct
wed805be,cauliflower,../static/stimuli/images/house/sun_afejjgypgnszvwza.jpg,False,high,1,1369.0,cauliflower,3692.880000000121,correct
wed805be,ear,../static/stimuli/images/greenhouse/sun_bncgstrupskxwget.jpg,False,high,1,2189.0,ear,2686.5400000001537,correct
wed805be,quill,../static/stimuli/images/forest/sun_augxrcssyuvvueda.jpg,False,high,1,1734.0,quill,2711.9100000000326,correct
wed805be,barracuda,../static/stimuli/images/sky/sun_aemltyubcdmxluwx.jpg,False,high,1,1374.0,barracuda,3408.7800000002608,correct
wed805be,goat,../static/stimuli/images/bookstore/sun_avsybhiblxqxcayh.jpg,False,high,1,1920.0,goat,2523.670000000042,correct
wed805be,bug,../static/stimuli/images/grocery/sun_atlvleypygwzuszx.jpg,False,high,1,1825.0,bug,2496.430000000051,correct
wed805be,ozone,../static/stimuli/images/street/sun_aaeluqrkikjbtquv.jpg,False,low,1,1606.0,ozone,2892.835000000079,correct
wed805be,agent,../static/stimuli/images/beach/sun_abkegkdifglzmevl.jpg,False,low,1,2425.0,agent,3469.070000000065,correct
wed805be,scenery,../static/stimuli/images/auditorium/sun_ahcmaddzrcfxzuuz.jpg,False,low,1,3024.0,scenery,4668.339999999735,correct
wed805be,ghost,../static/stimuli/images/subway/sun_apsbdxitmzdgpeyn.jpg,False,low,1,1304.0,ghost,2718.3599999998696,correct
wed805be,atom,../static/stimuli/images/kitchen/sun_axvexejcndazoqxl.jpg,False,low,1,1546.0,atom,2647.524999999907,correct
wed805be,mister,../static/stimuli/images/computerroom/sun_aiwdglrsrkkfbgzz.jpg,False,low,1,4071.0,mister,4951.680000000168,correct
wed805be,banana,../static/stimuli/images/airport/sun_ammfdrzrfvjsqahx.jpg,False,high,1,1824.0,banana,2647.8799999998882,correct
wed805be,stable,../static/stimuli/images/garage/sun_dmxrwdsmpakdmytc.jpg,False,low,1,,,,timeout
wed805be,personnel,../static/stimuli/images/ziggurat/sun_agbaptlibgqhrwwn.jpg,False,low,1,1882.0,personell,5309.520000000019,other
wed805be,volunteer,../static/stimuli/images/laundryroom/sun_aenyfwnevttqnhhe.jpg,False,low,1,5976.0,volunteer,7517.83499999973,correct
wed805be,daisy,../static/stimuli/images/railway/sun_aqlgoveofhhmvrdh.jpg,False,high,1,1154.0,daisy,2047.654999999795,correct
wed805be,octopus,../static/stimuli/images/restaurant/sun_adozleohzzjtcftc.jpg,False,high,1,1586.0,octopus,3541.8650000002235,correct
wed805be,strawberry,../static/stimuli/images/vineyard/sun_aotjqpvjaukupppc.jpg,False,high,1,1408.0,strawberry,3767.6450000000186,correct
wed805be,tulip,../static/stimuli/images/theater/sun_alttxbnfjyibouth.jpg,False,high,1,1122.0,tulip,2456.935000000056,correct
wed805be,rouge,../static/stimuli/images/campsite/sun_agkgjmhhyqowlmdm.jpg,False,low,1,2871.0,rogue,3691.7299999995157,other
wed805be,editorial,../static/stimuli/images/roof/sun_aqxzijexicadnjja.jpg,False,low,1,3967.0,editorial,5604.564999999711,correct
wed805be,neck,../static/stimuli/images/downtown/sun_ahwvhnliokuzkazb.jpg,False,high,0,2412.0,neck,3148.149999999907,correct
wed805be,application,../static/stimuli/images/pool/sun_ammyodxmkwfauuzp.jpg,False,low,1,1827.0,application,3735.5550000001676,correct
wed805be,elephant,../static/stimuli/images/river/sun_aztombwyhubhaynq.jpg,False,high,1,1257.0,elephant,2504.660000000382,correct
wed805be,apple,../static/stimuli/images/waterfall/sun_amyxrbqiudksvqun.jpg,False,high,1,1145.0,apple,1790.280000000028,correct
wed805be,antelope,../static/stimuli/images/tenniscourt/sun_ajmzjgescxgcfhdp.jpg,False,high,1,3217.0,antelope,4374.869999999646,correct
wed805be,tread,../static/stimuli/images/temple/sun_avabexehmngnxjjr.jpg,False,low,1,,,,timeout
wed805be,tiger,../static/stimuli/images/footballfield/sun_aegayohtofbvbdoa.jpg,False,high,1,6728.0,,6727.145000000717,empty
wed805be,baby,../static/stimuli/images/ranch/sun_atkydlwjcpmattts.jpg,False,high,1,1625.0,baby,2166.4250000005122,correct
